40-Mile Air	Q5	79	72255	79	451	/N	/N	2012
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2012
Ellis Air Taxi  	ELL	80	40327	/N	/N	/N	/N	2012
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2012
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2012
Delta Air Lines  	DL	2	1.7248E+11	1	120389174	2	37818194	2013
United Airlines	UA	1	1.78218E+11	3	90112925	1	38287134	2013
American Airlines	AA	3	1.28346E+11	4	86822555	3	25760245	2013
Southwest Airlines 	WN	4	90178339389	2	115322785	4	17699434	2013
JetBlue Airways	B6	6	35835170309	7	30427534	6	5441828	2013
Alaska Airlines  	AS	7	26132455312	9	19699599	7	5150814	2013
Spirit Airlines	NK	13	11999629070	13	12098255	10	1654385	2013
Frontier Airlines  	F9	15	9150619318	14	10207534	13	1348551	2013
SkyWest Airlines  	OO	9	14953786117	8	27138546	9	1827568	2013
Hawaiian Airlines  	HA	12	13668088787	16	9925751	8	2155554	2013
Allegiant Air	G4	17	7000034175	18	7101917	15	957824	2013
Republic Airline	YX	19	4674032931	15	10031819	17	647180	2013
Mesa Airlines  	YV	20	4019627992	17	8524142	19	431478	2013
Envoy Air	MQ	16	9084038266	11	17748301	14	1138989	2013
Endeavor 	9E	18	6010165909	12	13230942	18	585233	2013
PSA Airlines  	OH	/N	/N	/N	/N	/N	/N	2013
Sun Country Airlines 	SY	24	2288648817	29	1681079	20	409637	2013
Compass Airlines	CP	22	2831520173	26	3783428	/N	/N	2013
Horizon Air	QX	25	2164227742	19	7098501	/N	/N	2013
ExpressJet Airlines  	EV	8	16852232059	6	32956702	11	1466341	2013
GoJet Airlines   	G7	23	2527703385	25	4310464	/N	/N	2013
Air Wisconsin Airlines  	ZW	26	2141702864	21	6069190	16	655627	2013
Trans States Airlines	AX	29	916286980	28	2205109	/N	/N	2013
Piedmont Airlines	PT	/N	/N	/N	/N	/N	/N	2013
Commutair 	C5	31	267750956	30	1410790	/N	/N	2013
Silver Airways	3M	32	156080264	31	759122	/N	/N	2013
Era Aviation	7H	35	82585869	34	437450	/N	/N	2013
Peninsula Airways	KS	34	95076699	38	213731	/N	/N	2013
Contour Airlines	LF	/N	/N	/N	/N	/N	/N	2013
Cape Air	9K	36	73478063	32	740023	/N	/N	2013
Boutique Air	4B	/N	/N	/N	/N	/N	/N	2013
Elite Airways	2HQ	/N	/N	/N	/N	/N	/N	2013
Seaborne Virgin Islands	SEB	38	26600452	36	283963	/N	/N	2013
Hageland Aviation Service	H6	40	23293534	37	219912	/N	/N	2013
Sun Air Express 	1RQ	56	1176261	57	11269	/N	/N	2013
Empire Airlines	EM	/N	/N	/N	/N	/N	/N	2013
Multi-Aero   	0MQ	48	5722291	49	34192	/N	/N	2013
Key Lime Air	38Q	/N	/N	/N	/N	/N	/N	2013
Wright Air Service	8V	45	7205021	48	34248	/N	/N	2013
Grant Aviation	GV	44	9624709	41	120286	/N	/N	2013
Mokulele Flight Services  	MW	42	11722780	39	159402	/N	/N	2013
Bering Air  	8E	46	5831958	46	55461	/N	/N	2013
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2013
Tradewind Aviation	04Q	52	2440720	56	12256	/N	/N	2013
Kalinin Aviation (Alaska Seaplanes)	J5	58	1098062	52	19001	/N	/N	2013
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2013
Kenmore Air Harbor	KAH	57	1114028	61	10419	/N	/N	2013
Charter Air Transport	1AQ	/N	/N	/N	/N	/N	/N	2013
Vieques Air Link  	VI	53	1802868	45	62354	/N	/N	2013
Star Marianas Air 	1SQ	/N	/N	/N	/N	/N	/N	2013
Air Sunshine 	AAT	59	524042	66	6318	/N	/N	2013
Iliamna Air Taxi	V8	55	1692009	62	9095	/N	/N	2013
Air Unlimited Charter Services	2TQ	/N	/N	/N	/N	/N	/N	2013
Island Air Express	I4	/N	/N	/N	/N	/N	/N	2013
Venture Travel   	K3	73	118418	71	2089	/N	/N	2013
City Wings 	1QQ	62	486675	59	10815	/N	/N	2013
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2013
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2013
Tatonduk 	5V	70	214088	74	1079	/N	/N	2013
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2013
New England Airlines  	NEW	65	353447	51	20788	/N	/N	2013
Island Air Service	2O	60	518643	60	10710	/N	/N	2013
Warbelow	4W	50	2827662	53	18997	/N	/N	2013
Air Charter (Air Flamenco)	1YQ	/N	/N	/N	/N	/N	/N	2013
Katmai Air	KAT	67	281694	63	8724	/N	/N	2013
Air Excursions  	X4	66	315999	69	3915	/N	/N	2013
Pacific Airways  	3F	61	516755	55	12853	/N	/N	2013
Harris Air Services	HBQ	/N	/N	/N	/N	/N	/N	2013
Smokey Bay Air  	2E	72	133480	65	6747	/N	/N	2013
Friday Harbor Seaplanes	WST	78	45423	72	2002	/N	/N	2013
Tanana Air Service	Z3	64	401733	58	11053	/N	/N	2013
Grand Canyon Airlines 	YR	81	4838	79	82	/N	/N	2013
Gem Air	22Q	/N	/N	/N	/N	/N	/N	2013
Arctic Transportation	7S	75	68184	75	878	/N	/N	2013
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2013
40-Mile Air	Q5	76	66978	76	437	/N	/N	2013
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2013
Ellis Air Taxi  	ELL	77	48683	77	367	/N	/N	2013
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2013
Spernak Airways  	SNK	80	5368	80	69	/N	/N	2013
Delta Air Lines  	DL	1	1.80746E+11	1	129210446	1	40426454	2014
United Airlines	UA	2	1.78679E+11	3	90373178	2	38900519	2014
American Airlines	AA	3	1.29274E+11	4	87830493	3	27140391	2014
Southwest Airlines 	WN	4	1.01169E+11	2	127194669	4	18605116	2014
JetBlue Airways	B6	6	37813645878	6	32056135	6	5816877	2014
Alaska Airlines  	AS	7	27739056885	9	20935225	7	5363353	2014
Spirit Airlines	NK	10	14159223553	11	13978786	9	1931581	2014
Frontier Airlines  	F9	12	10382692719	14	11662770	11	1574869	2014
SkyWest Airlines  	OO	9	15508238442	8	27786380	10	1888693	2014
Hawaiian Airlines  	HA	11	13866969815	15	10070978	8	2311201	2014
Allegiant Air	G4	14	7749484088	18	8050730	14	1099667	2014
Republic Airline	YX	17	6201366196	12	13046868	16	781961	2014
Mesa Airlines  	YV	19	4617480924	16	9046491	19	458413	2014
Envoy Air	MQ	15	7535560400	10	16110493	15	1039737	2014
Endeavor 	9E	18	6014913742	13	12056713	18	533476	2014
PSA Airlines  	OH	/N	/N	/N	/N	/N	/N	2014
Sun Country Airlines 	SY	23	2543115684	29	1838088	20	450319	2014
Compass Airlines	CP	21	2931231095	25	4045915	/N	/N	2014
Horizon Air	QX	25	2208106760	19	7455237	/N	/N	2014
ExpressJet Airlines  	EV	8	15915731019	7	30950188	13	1347277	2014
GoJet Airlines   	G7	22	2566146321	24	4291836	/N	/N	2014
Air Wisconsin Airlines  	ZW	24	2242892765	21	6146733	17	644580	2014
Trans States Airlines	AX	28	927537599	28	2391953	/N	/N	2014
Piedmont Airlines	PT	29	504429874	27	3014470	/N	/N	2014
Commutair 	C5	30	239660708	30	1148001	/N	/N	2014
Silver Airways	3M	31	140512752	32	671302	/N	/N	2014
Era Aviation	7H	34	76921931	34	403807	/N	/N	2014
Peninsula Airways	KS	32	95678932	38	214556	/N	/N	2014
Contour Airlines	LF	/N	/N	/N	/N	/N	/N	2014
Cape Air	9K	33	79161687	31	757230	/N	/N	2014
Boutique Air	4B	57	1538992	73	4468	/N	/N	2014
Elite Airways	2HQ	/N	/N	/N	/N	/N	/N	2014
Seaborne Virgin Islands	SEB	37	41805242	35	334030	/N	/N	2014
Hageland Aviation Service	H6	39	25030653	37	225999	/N	/N	2014
Sun Air Express 	1RQ	60	1187174	63	11798	/N	/N	2014
Empire Airlines	EM	46	7522287	41	106361	/N	/N	2014
Multi-Aero   	0MQ	45	7800553	51	41170	/N	/N	2014
Key Lime Air	38Q	/N	/N	/N	/N	/N	/N	2014
Wright Air Service	8V	44	8598810	50	41284	/N	/N	2014
Grant Aviation	GV	43	10358686	40	125643	/N	/N	2014
Mokulele Flight Services  	MW	40	17582384	36	248092	/N	/N	2014
Bering Air  	8E	47	6798314	47	65102	/N	/N	2014
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2014
Tradewind Aviation	04Q	50	3166316	59	15317	/N	/N	2014
Kalinin Aviation (Alaska Seaplanes)	J5	55	1634809	54	27571	/N	/N	2014
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2014
Kenmore Air Harbor	KAH	48	6118421	44	87377	/N	/N	2014
Charter Air Transport	1AQ	49	5210750	53	29046	/N	/N	2014
Vieques Air Link  	VI	54	2405041	46	79587	/N	/N	2014
Star Marianas Air 	1SQ	66	462755	55	26066	/N	/N	2014
Air Sunshine 	AAT	63	543242	71	6146	/N	/N	2014
Iliamna Air Taxi	V8	58	1512772	69	8043	/N	/N	2014
Air Unlimited Charter Services	2TQ	/N	/N	/N	/N	/N	/N	2014
Island Air Express	I4	/N	/N	/N	/N	/N	/N	2014
Venture Travel   	K3	73	280162	62	13245	/N	/N	2014
City Wings 	1QQ	61	946755	57	21039	/N	/N	2014
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2014
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2014
Tatonduk 	5V	75	237944	79	1255	/N	/N	2014
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2014
New England Airlines  	NEW	68	413440	56	24316	/N	/N	2014
Island Air Service	2O	65	530897	64	10628	/N	/N	2014
Warbelow	4W	53	2608531	58	17332	/N	/N	2014
Air Charter (Air Flamenco)	1YQ	56	1594676	49	55468	/N	/N	2014
Katmai Air	KAT	71	322752	66	9850	/N	/N	2014
Air Excursions  	X4	67	439156	74	3884	/N	/N	2014
Pacific Airways  	3F	64	540043	61	13725	/N	/N	2014
Harris Air Services	HBQ	/N	/N	/N	/N	/N	/N	2014
Smokey Bay Air  	2E	77	177800	68	8710	/N	/N	2014
Friday Harbor Seaplanes	WST	78	122825	76	2916	/N	/N	2014
Tanana Air Service	Z3	74	265048	70	7767	/N	/N	2014
Grand Canyon Airlines 	YR	76	191186	77	2588	/N	/N	2014
Gem Air	22Q	/N	/N	/N	/N	/N	/N	2014
Arctic Transportation	7S	/N	/N	80	651	/N	/N	2014
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2014
40-Mile Air	Q5	80	76637	/N	/N	/N	/N	2014
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2014
Ellis Air Taxi  	ELL	/N	/N	/N	/N	/N	/N	2014
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2014
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2014
Delta Air Lines  	DL	2	1.87987E+11	3	138591267	2	40815767	2015
United Airlines	UA	3	1.83292E+11	4	95326558	3	37864132	2015
American Airlines	AA	1	1.99343E+11	1	146549897	1	41084426	2015
Southwest Airlines 	WN	4	1.17503E+11	2	144574739	4	19820110	2015
JetBlue Airways	B6	5	41714368825	5	35074162	5	6416127	2015
Alaska Airlines  	AS	6	30297232283	8	22827536	6	5594087	2015
Spirit Airlines	NK	7	17995647224	9	17629033	8	2141463	2015
Frontier Airlines  	F9	10	12729013711	11	12735511	10	1604012	2015
SkyWest Airlines  	OO	8	16975468081	6	30078314	9	1931688	2015
Hawaiian Airlines  	HA	9	14400456022	14	10453605	7	2313157	2015
Allegiant Air	G4	13	8874010009	16	9414584	12	1221507	2015
Republic Airline	YX	14	6678295610	10	13908021	15	835176	2015
Mesa Airlines  	YV	15	6412425337	13	11416204	17	530711	2015
Envoy Air	MQ	17	5388867779	12	12287670	14	853984	2015
Endeavor 	9E	16	5531612052	15	10279270	21	426513	2015
PSA Airlines  	OH	19	3516753213	17	9138696	20	497525	2015
Sun Country Airlines 	SY	21	3042266141	26	2209788	18	526338	2015
Compass Airlines	CP	20	3510823087	22	4954755	/N	/N	2015
Horizon Air	QX	23	2306156056	18	7909194	/N	/N	2015
ExpressJet Airlines  	EV	11	12685491538	7	26002919	13	987246	2015
GoJet Airlines   	G7	22	2446560695	23	4378275	/N	/N	2015
Air Wisconsin Airlines  	ZW	24	2287468755	21	6312190	16	536037	2015
Trans States Airlines	AX	25	1319766526	24	2977297	/N	/N	2015
Piedmont Airlines	PT	26	486066534	25	2904775	/N	/N	2015
Commutair 	C5	27	218851755	27	1094091	/N	/N	2015
Silver Airways	3M	28	157550924	28	705411	/N	/N	2015
Era Aviation	7H	30	72623782	30	398532	/N	/N	2015
Peninsula Airways	KS	29	100389326	35	220124	/N	/N	2015
Contour Airlines	LF	/N	/N	/N	/N	/N	/N	2015
Cape Air	9K	31	71207938	29	683935	/N	/N	2015
Boutique Air	4B	43	8601332	52	32657	/N	/N	2015
Elite Airways	2HQ	/N	/N	/N	/N	/N	/N	2015
Seaborne Virgin Islands	SEB	33	30334387	33	238028	/N	/N	2015
Hageland Aviation Service	H6	35	24657205	34	233815	/N	/N	2015
Sun Air Express 	1RQ	47	2614584	55	23473	/N	/N	2015
Empire Airlines	EM	39	14051380	36	186135	/N	/N	2015
Multi-Aero   	0MQ	38	15834748	42	70673	/N	/N	2015
Key Lime Air	38Q	/N	/N	/N	/N	/N	/N	2015
Wright Air Service	8V	44	8318880	50	38919	/N	/N	2015
Grant Aviation	GV	42	8817465	37	114845	/N	/N	2015
Mokulele Flight Services  	MW	36	17571526	32	243064	/N	/N	2015
Bering Air  	8E	45	6509872	43	63010	/N	/N	2015
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2015
Tradewind Aviation	04Q	46	4533577	57	20443	/N	/N	2015
Kalinin Aviation (Alaska Seaplanes)	J5	49	2578357	51	38247	/N	/N	2015
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2015
Kenmore Air Harbor	KAH	52	2407003	44	61587	/N	/N	2015
Charter Air Transport	1AQ	41	10381291	49	41394	/N	/N	2015
Vieques Air Link  	VI	48	2598496	40	87887	/N	/N	2015
Star Marianas Air 	1SQ	56	1090587	46	51798	/N	/N	2015
Air Sunshine 	AAT	60	724899	67	7689	/N	/N	2015
Iliamna Air Taxi	V8	55	1654160	66	8747	/N	/N	2015
Air Unlimited Charter Services	2TQ	/N	/N	/N	/N	/N	/N	2015
Island Air Express	I4	58	927920	59	16570	/N	/N	2015
Venture Travel   	K3	66	357887	53	24666	/N	/N	2015
City Wings 	1QQ	57	1078110	54	23958	/N	/N	2015
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2015
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2015
Tatonduk 	5V	69	275130	71	1787	/N	/N	2015
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2015
New England Airlines  	NEW	65	396950	56	23350	/N	/N	2015
Island Air Service	2O	62	556783	64	10097	/N	/N	2015
Warbelow	4W	51	2431548	60	16088	/N	/N	2015
Air Charter (Air Flamenco)	1YQ	54	1665536	45	59250	/N	/N	2015
Katmai Air	KAT	67	326976	62	10218	/N	/N	2015
Air Excursions  	X4	72	169569	69	4119	/N	/N	2015
Pacific Airways  	3F	61	605562	61	15238	/N	/N	2015
Harris Air Services	HBQ	/N	/N	/N	/N	/N	/N	2015
Smokey Bay Air  	2E	71	182553	65	9307	/N	/N	2015
Friday Harbor Seaplanes	WST	74	85676	72	1724	/N	/N	2015
Tanana Air Service	Z3	/N	/N	/N	/N	/N	/N	2015
Grand Canyon Airlines 	YR	63	445103	58	17160	/N	/N	2015
Gem Air	22Q	/N	/N	/N	/N	/N	/N	2015
Arctic Transportation	7S	78	25153	76	473	/N	/N	2015
Reeve Air Alaska 	RVQ	76	59446	77	457	/N	/N	2015
40-Mile Air	Q5	75	66964	75	474	/N	/N	2015
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2015
Ellis Air Taxi  	ELL	79	14530	80	114	/N	/N	2015
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2015
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2015
Delta Air Lines  	DL	2	1.9145E+11	3	143075984	2	39849613	2016
United Airlines	UA	3	1.85848E+11	4	100118990	3	36555880	2016
American Airlines	AA	1	1.9887E+11	2	144191367	1	40421537	2016
Southwest Airlines 	WN	4	1.24801E+11	1	151740357	4	20425210	2016
JetBlue Airways	B6	5	45629154595	5	38241080	5	6632433	2016
Alaska Airlines  	AS	6	32804165363	7	24370590	6	5827853	2016
Spirit Airlines	NK	7	21582548632	9	20997732	8	2321957	2016
Frontier Airlines  	F9	8	15875680898	10	14773331	10	1713577	2016
SkyWest Airlines  	OO	9	17548258663	6	31204948	9	2074955	2016
Hawaiian Airlines  	HA	10	15466013766	17	10823749	7	2441525	2016
Allegiant Air	G4	12	10191928085	15	11074799	12	1317315	2016
Republic Airline	YX	13	7059569978	14	11528069	15	807623	2016
Mesa Airlines  	YV	15	7538494671	11	13037076	16	618381	2016
Envoy Air	MQ	16	5412074690	12	11763819	13	1057965	2016
Endeavor 	9E	17	5878711774	16	10960828	19	491126	2016
PSA Airlines  	OH	18	4574354058	13	11618123	17	580497	2016
Sun Country Airlines 	SY	20	3239749192	26	2153513	18	518933	2016
Compass Airlines	CP	19	4353977459	20	6432138	/N	/N	2016
Horizon Air	QX	22	2266659085	19	7755403	/N	/N	2016
ExpressJet Airlines  	EV	14	10451791658	8	22184613	14	1044828	2016
GoJet Airlines   	G7	21	2678858895	22	4798444	/N	/N	2016
Air Wisconsin Airlines  	ZW	24	2060390338	21	5387095	20	443019	2016
Trans States Airlines	AX	23	1572790419	24	3435434	/N	/N	2016
Piedmont Airlines	PT	25	517015726	25	2714814	/N	/N	2016
Commutair 	C5	26	292358961	27	1340712	/N	/N	2016
Silver Airways	3M	27	124871644	29	588907	/N	/N	2016
Era Aviation	7H	29	76143739	31	411172	/N	/N	2016
Peninsula Airways	KS	28	114752969	32	268845	/N	/N	2016
Contour Airlines	LF	53	2088522	65	12003	/N	/N	2016
Cape Air	9K	30	69888333	28	673307	/N	/N	2016
Boutique Air	4B	33	27691254	37	118347	/N	/N	2016
Elite Airways	2HQ	32	29637780	56	27821	/N	/N	2016
Seaborne Virgin Islands	SEB	34	34590596	33	256112	/N	/N	2016
Hageland Aviation Service	H6	35	24231562	35	228301	/N	/N	2016
Sun Air Express 	1RQ	43	4026895	53	31768	/N	/N	2016
Empire Airlines	EM	42	16546038	36	219766	/N	/N	2016
Multi-Aero   	0MQ	41	19183515	39	80798	/N	/N	2016
Key Lime Air	38Q	45	/N	/N	/N	/N	/N	2016
Wright Air Service	8V	46	8683335	51	39593	/N	/N	2016
Grant Aviation	GV	47	8023131	38	102073	/N	/N	2016
Mokulele Flight Services  	MW	40	18426772	34	249828	/N	/N	2016
Bering Air  	8E	48	6873313	43	64154	/N	/N	2016
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2016
Tradewind Aviation	04Q	49	5805167	54	31297	/N	/N	2016
Kalinin Aviation (Alaska Seaplanes)	J5	51	3717534	45	57138	/N	/N	2016
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2016
Kenmore Air Harbor	KAH	52	3033920	47	56379	/N	/N	2016
Charter Air Transport	1AQ	37	14160764	50	42129	/N	/N	2016
Vieques Air Link  	VI	55	2298833	40	80133	/N	/N	2016
Star Marianas Air 	1SQ	56	1712540	42	72388	/N	/N	2016
Air Sunshine 	AAT	62	515161	70	5125	/N	/N	2016
Iliamna Air Taxi	V8	58	1583590	69	8404	/N	/N	2016
Air Unlimited Charter Services	2TQ	60	167182	76	678	/N	/N	2016
Island Air Express	I4	61	1062096	58	18736	/N	/N	2016
Venture Travel   	K3	65	627077	48	44494	/N	/N	2016
City Wings 	1QQ	63	1175580	57	26124	/N	/N	2016
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2016
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2016
Tatonduk 	5V	73	319177	74	2216	/N	/N	2016
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2016
New England Airlines  	NEW	66	584596	52	34388	/N	/N	2016
Island Air Service	2O	64	572112	67	10907	/N	/N	2016
Warbelow	4W	54	2614230	60	17180	/N	/N	2016
Air Charter (Air Flamenco)	1YQ	59	1681396	44	60146	/N	/N	2016
Katmai Air	KAT	72	373632	66	11676	/N	/N	2016
Air Excursions  	X4	70	190734	71	4651	/N	/N	2016
Pacific Airways  	3F	67	595872	63	14728	/N	/N	2016
Harris Air Services	HBQ	68	/N	/N	/N	/N	/N	2016
Smokey Bay Air  	2E	69	370526	59	18443	/N	/N	2016
Friday Harbor Seaplanes	WST	75	142149	73	2546	/N	/N	2016
Tanana Air Service	Z3	77	/N	/N	/N	/N	/N	2016
Grand Canyon Airlines 	YR	76	244546	72	3357	/N	/N	2016
Gem Air	22Q	78	46768	/N	/N	/N	/N	2016
Arctic Transportation	7S	/N	/N	77	554	/N	/N	2016
Reeve Air Alaska 	RVQ	/N	50530	/N	/N	/N	/N	2016
40-Mile Air	Q5	79	50939	78	532	/N	/N	2016
Alaska Air Transit	2EQ	80	/N	/N	/N	/N	/N	2016
Ellis Air Taxi  	ELL	/N	/N	79	363	/N	/N	2016
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2016
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2016
Delta Air Lines  	DL	2	1.96603E+11	2	145646743	2	41475860	2017
United Airlines	UA	3	1.93166E+11	4	107242684	3	37736311	2017
American Airlines	AA	1	2.01312E+11	3	144863506	1	42195316	2017
Southwest Airlines 	WN	4	1.29045E+11	1	157677218	4	21170660	2017
JetBlue Airways	B6	5	47247258707	5	40015303	5	7015326	2017
Alaska Airlines  	AS	6	35255847804	7	26067258	6	6287852	2017
Spirit Airlines	NK	7	24603557689	8	23812748	8	2647666	2017
Frontier Airlines  	F9	8	18909375570	10	16799968	10	1914740	2017
SkyWest Airlines  	OO	9	18830092229	6	35776081	9	2410032	2017
Hawaiian Airlines  	HA	10	16291460362	17	11293430	7	2687919	2017
Allegiant Air	G4	12	10986434488	14	12237583	12	1443616	2017
Republic Airline	YX	13	10044090290	9	16931622	13	1195455	2017
Mesa Airlines  	YV	15	7534935992	12	13430337	16	650443	2017
Envoy Air	MQ	16	5846411969	15	11786070	14	1156780	2017
Endeavor 	9E	17	5815923158	16	11783008	19	519329	2017
PSA Airlines  	OH	18	4931410143	13	12629465	17	619116	2017
Sun Country Airlines 	SY	20	3425352398	25	2441125	18	589034	2017
Compass Airlines	CP	19	3982195550	20	6061021	/N	/N	2017
Horizon Air	QX	22	2338919470	19	7010923	20	434615	2017
ExpressJet Airlines  	EV	14	7611040556	11	15501904	15	790942	2017
GoJet Airlines   	G7	21	2716702713	21	5306137	/N	/N	2017
Air Wisconsin Airlines  	ZW	24	1259573067	22	3463532	21	247712	2017
Trans States Airlines	AX	23	1517614107	23	3459809	/N	/N	2017
Piedmont Airlines	PT	25	748047244	24	3053625	/N	/N	2017
Commutair 	C5	26	481979565	26	1594513	/N	/N	2017
Silver Airways	3M	27	136599667	27	627252	/N	/N	2017
Era Aviation	7H	29	84634616	30	433894	/N	/N	2017
Peninsula Airways	KS	28	117336441	31	285043	/N	/N	2017
Contour Airlines	LF	53	3157072	59	18159	/N	/N	2017
Cape Air	9K	30	67265589	28	618912	/N	/N	2017
Boutique Air	4B	33	42500643	36	182403	/N	/N	2017
Elite Airways	2HQ	32	45587659	49	52972	/N	/N	2017
Seaborne Virgin Islands	SEB	34	29931657	32	261351	/N	/N	2017
Hageland Aviation Service	H6	35	23394685	34	237936	/N	/N	2017
Sun Air Express 	1RQ	43	12477721	40	77613	/N	/N	2017
Empire Airlines	EM	42	14091485	35	184846	/N	/N	2017
Multi-Aero   	0MQ	41	17772059	38	83617	/N	/N	2017
Key Lime Air	38Q	45	10690909	55	29534	/N	/N	2017
Wright Air Service	8V	46	8934415	52	41283	/N	/N	2017
Grant Aviation	GV	47	7692451	37	100230	/N	/N	2017
Mokulele Flight Services  	MW	40	18320492	33	245907	/N	/N	2017
Bering Air  	8E	48	7228844	42	66531	/N	/N	2017
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2017
Tradewind Aviation	04Q	49	5854522	56	28461	/N	/N	2017
Kalinin Aviation (Alaska Seaplanes)	J5	51	4052927	47	59567	/N	/N	2017
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2017
Kenmore Air Harbor	KAH	52	3233820	45	61119	/N	/N	2017
Charter Air Transport	1AQ	37	20489850	48	55828	/N	/N	2017
Vieques Air Link  	VI	55	1828400	44	63569	/N	/N	2017
Star Marianas Air 	1SQ	56	1763702	39	78797	/N	/N	2017
Air Sunshine 	AAT	62	940729	66	8798	/N	/N	2017
Iliamna Air Taxi	V8	58	1595914	69	8350	/N	/N	2017
Air Unlimited Charter Services	2TQ	60	1342573	71	5368	/N	/N	2017
Island Air Express	I4	61	1151024	57	20546	/N	/N	2017
Venture Travel   	K3	65	631673	51	43835	/N	/N	2017
City Wings 	1QQ	63	752940	61	16732	/N	/N	2017
Yute Commuter Service	K2	/N	/N	78	1025	/N	/N	2017
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2017
Tatonduk 	5V	73	282097	76	1945	/N	/N	2017
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2017
New England Airlines  	NEW	66	552279	54	32487	/N	/N	2017
Island Air Service	2O	64	709198	62	14957	/N	/N	2017
Warbelow	4W	54	2592980	60	17196	/N	/N	2017
Air Charter (Air Flamenco)	1YQ	59	1398935	50	49344	/N	/N	2017
Katmai Air	KAT	72	314112	65	9816	/N	/N	2017
Air Excursions  	X4	70	358763	67	8723	/N	/N	2017
Pacific Airways  	3F	67	508290	63	12517	/N	/N	2017
Harris Air Services	HBQ	68	490878	70	5858	/N	/N	2017
Smokey Bay Air  	2E	69	402317	58	19531	/N	/N	2017
Friday Harbor Seaplanes	WST	75	193680	74	2421	/N	/N	2017
Tanana Air Service	Z3	77	95161	77	1684	/N	/N	2017
Grand Canyon Airlines 	YR	76	188745	75	2420	/N	/N	2017
Gem Air	22Q	78	51508	/N	/N	/N	/N	2017
Arctic Transportation	7S	/N	/N	79	620	/N	/N	2017
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2017
40-Mile Air	Q5	79	47512	80	501	/N	/N	2017
Alaska Air Transit	2EQ	80	46116	/N	/N	/N	/N	2017
Ellis Air Taxi  	ELL	/N	/N	/N	/N	/N	/N	2017
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2017
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2017
Delta Air Lines  	DL	2	2.05091E+11	2	152028678	1	44537997	2018
United Airlines	UA	3	2.04788E+11	4	113197102	3	41303230	2018
American Airlines	AA	1	2.0542E+11	3	148180840	2	44529814	2018
Southwest Airlines 	WN	4	1.33326E+11	1	163605692	4	21965049	2018
JetBlue Airways	B6	5	50817439963	5	42235977	6	7658451	2018
Alaska Airlines  	AS	6	46724226271	7	33502928	5	8259807	2018
Spirit Airlines	NK	7	30591966457	8	28683265	7	3323035	2018
Frontier Airlines  	F9	8	20875202333	9	19432848	10	2155858	2018
SkyWest Airlines  	OO	9	20769989349	6	38955705	9	2653555	2018
Hawaiian Airlines  	HA	10	17182825377	16	11623825	8	2827216	2018
Allegiant Air	G4	11	12224404873	13	13703343	11	1596808	2018
