American Airlines	AA	1	1.22375E+11	 2.00 	85720465	1	19898245	2009
Southwest Airlines 	WN	5	74458591858	 1.00 	101338228	7	10350338	2009
JetBlue Airways	B6	8	25949163598	 9.00 	22378273	8	3287412	2009
Alaska Airlines  	AS	10	18319605424	 12.00 	15523498	9	3005999	2009
Spirit Airlines	NK	16	5940134125	 23.00 	6088588	18	698966	2009
Frontier Airlines  	F9	12	8616954113	 17.00 	9477089	14	1113397	2009
SkyWest Airlines  	OO	11	11720147975	 10.00 	21246408	12	1731346	2009
Hawaiian Airlines  	HA	13	8136912612	 19.00 	8339976	13	1183619	2009
Allegiant Air	G4	22	4471610546	 27.00 	4920186	/N	/N	2009
Republic Airline	YX	20	4677041603	 18.00 	8879275	/N	/N	2009
Mesa Airlines  	YV	19	4822936208	 15.00 	10962729	17	832707	2009
Envoy Air	MQ	15	7146025626	 11.00 	16012851	11	1845823	2009
Endeavor 	9E	21	4640495118	 16.00 	10744326	21	618376	2009
PSA Airlines  	OH	24	3195913746	 22.00 	6314513	16	860540	2009
Sun Country Airlines 	SY	32	1523891422	 39.00 	1128806	/N	/N	2009
Compass Airlines	CP	28	2292630561	 30.00 	3198297	/N	/N	2009
Horizon Air	QX	27	2408760440	 20.00 	6759057	20	654362	2009
ExpressJet Airlines  	EV	17	5751351071	 14.00 	13169686	15	882570	2009
GoJet Airlines   	G7	34	1243277393	 35.00 	2114189	/N	/N	2009
Air Wisconsin Airlines  	ZW	30	2041293310	 25.00 	5576139	/N	/N	2009
Trans States Airlines	AX	35	1003140212	 34.00 	2445344	/N	/N	2009
Piedmont Airlines	PT	/N	/N	 /N 	/N	/N	/N	2009
Commutair 	C5	42	144922374	 41.00 	831424	/N	/N	2009
Silver Airways	3M	45	91842579	 46.00 	415932	/N	/N	2009
Era Aviation	7H	46	55258523	 47.00 	331000	/N	/N	2009
Peninsula Airways	KS	44	92402322	 48.00 	216043	/N	/N	2009
Contour Airlines	LF	/N	/N	 /N 	/N	/N	/N	2009
Cape Air	9K	47	53882684	 43.00 	628287	/N	/N	2009
Boutique Air	4B	/N	/N	 /N 	/N	/N	/N	2009
Elite Airways	2HQ	/N	/N	 /N 	/N	/N	/N	2009
Seaborne Virgin Islands	SEB	52	9017466	 49.00 	166471	/N	/N	2009
Hageland Aviation Service	H6	50	13323053	 50.00 	133205	/N	/N	2009
Sun Air Express 	1RQ	/N	/N	 /N 	/N	/N	/N	2009
Empire Airlines	EM	/N	/N	 /N 	/N	/N	/N	2009
Multi-Aero   	0MQ	69	319319	 76.00 	1934	/N	/N	2009
Key Lime Air	38Q	/N	/N	 /N 	/N	/N	/N	2009
Wright Air Service	8V	59	4442793	 61.00 	22217	/N	/N	2009
Grant Aviation	GV	51	9693287	 51.00 	111243	/N	/N	2009
Mokulele Flight Services  	MW	/N	/N	 /N 	/N	/N	/N	2009
Bering Air  	8E	56	6032381	 56.00 	56834	/N	/N	2009
ADVANCED AIR LLC	AN	/N	/N	 /N 	/N	/N	/N	2009
Tradewind Aviation	04Q	64	902719	 75.00 	4556	/N	/N	2009
Kalinin Aviation (Alaska Seaplanes)	J5	68	356716	 72.00 	5739	/N	/N	2009
Watermakers Air	3BQ	/N	/N	 /N 	/N	/N	/N	2009
Kenmore Air Harbor	KAH	53	8581254	 52.00 	98838	/N	/N	2009
Charter Air Transport	1AQ	/N	/N	 /N 	/N	/N	/N	2009
Vieques Air Link  	VI	63	1249262	 60.00 	25548	/N	/N	2009
Star Marianas Air 	1SQ	/N	/N	 /N 	/N	/N	/N	2009
Air Sunshine 	AAT	/N	/N	 /N 	/N	/N	/N	2009
Iliamna Air Taxi	V8	62	1737038	 68.00 	9245	/N	/N	2009
Air Unlimited Charter Services	2TQ	/N	/N	 /N 	/N	/N	/N	2009
Island Air Express	I4	/N	/N	 /N 	/N	/N	/N	2009
Venture Travel   	K3	78	112037	 77.00 	1888	/N	/N	2009
City Wings 	1QQ	/N	/N	 /N 	/N	/N	/N	2009
Yute Commuter Service	K2	/N	/N	 /N 	/N	/N	/N	2009
Tropic Ocean Airways	2LQ	/N	/N	 /N 	/N	/N	/N	2009
Tatonduk 	5V	/N	/N	 /N 	/N	/N	/N	2009
Rectrix Aviation	3DQ	/N	/N	 /N 	/N	/N	/N	2009
New England Airlines  	NEW	71	293522	 63.00 	17266	/N	/N	2009
Island Air Service	2O	66	608509	 66.00 	11944	/N	/N	2009
Warbelow	4W	55	6715855	 59.00 	35095	/N	/N	2009
Air Charter (Air Flamenco)	1YQ	/N	/N	 /N 	/N	/N	/N	2009
Katmai Air	KAT	73	230124	 70.00 	6712	/N	/N	2009
Air Excursions  	X4	/N	/N	 /N 	/N	/N	/N	2009
Pacific Airways  	3F	65	661757	 64.00 	15310	/N	/N	2009
Harris Air Services	HBQ	/N	/N	 /N 	/N	/N	/N	2009
Smokey Bay Air  	2E	75	202396	 69.00 	8721	/N	/N	2009
Friday Harbor Seaplanes	WST	76	148914	 73.00 	5156	/N	/N	2009
Tanana Air Service	Z3	67	390512	 67.00 	9755	/N	/N	2009
Grand Canyon Airlines 	YR	/N	/N	 /N 	/N	/N	/N	2009
Gem Air	22Q	/N	/N	 /N 	/N	/N	/N	2009
Arctic Transportation	7S	/N	/N	 /N 	/N	/N	/N	2009
Reeve Air Alaska 	RVQ	/N	/N	 /N 	/N	/N	/N	2009
40-Mile Air	Q5	79	70114	 80.00 	474	/N	/N	2009
Alaska Air Transit	2EQ	/N	/N	 /N 	/N	/N	/N	2009
Ellis Air Taxi  	ELL	/N	/N	 /N 	/N	/N	/N	2009
Maritime Helicopters	3AQ	/N	/N	 /N 	/N	/N	/N	2009
Spernak Airways  	SNK	/N	/N	 /N 	/N	/N	/N	2009
Delta Air Lines  	DL	1	1.67664E+11	1	110925275	1	31893702	2010
United Airlines	UA	3	1.02499E+11	4	54080087	3	19682320	2010
American Airlines	AA	2	1.25445E+11	3	86128633	2	22150940	2010
Southwest Airlines 	WN	5	78049206903	2	106227521	6	12103710	2010
JetBlue Airways	B6	7	28275860420	9	24198698	7	3780816	2010
Alaska Airlines  	AS	8	20306487915	10	16478100	8	3426625	2010
Spirit Airlines	NK	15	6626603339	20	6750835	15	778905	2010
Frontier Airlines  	F9	12	9198204999	16	9240895	12	1316949	2010
SkyWest Airlines  	OO	10	13259862498	8	24218184	11	1904472	2010
Hawaiian Airlines  	HA	13	8660290055	18	8417732	13	1312221	2010
Allegiant Air	G4	19	5202549669	25	5609931	/N	/N	2010
Republic Airline	YX	17	6089019082	14	11038151	16	747847	2010
Mesa Airlines  	YV	21	4073775536	17	9042292	18	732223	2010
Envoy Air	MQ	14	7985801448	12	16246048	10	1992181	2010
Endeavor 	9E	20	4667530294	15	10874562	21	655915	2010
PSA Airlines  	OH	24	3124689924	21	6448772	/N	/N	2010
Sun Country Airlines 	SY	32	1517875263	36	1118385	/N	/N	2010
Compass Airlines	CP	27	2337377686	29	3344783	/N	/N	2010
Horizon Air	QX	26	2450252458	19	6819039	20	679923	2010
ExpressJet Airlines  	EV	18	5773479505	13	13930942	17	746379	2010
GoJet Airlines   	G7	31	1627386832	33	2667289	/N	/N	2010
Air Wisconsin Airlines  	ZW	29	1963173019	23	5891404	/N	/N	2010
Trans States Airlines	AX	33	854466034	34	2188016	/N	/N	2010
Piedmont Airlines	PT	/N	/N	/N	/N	/N	/N	2010
Commutair 	C5	40	151339549	37	883510	/N	/N	2010
Silver Airways	3M	43	83219839	43	384318	/N	/N	2010
Era Aviation	7H	44	64413665	44	359236	/N	/N	2010
Peninsula Airways	KS	42	92983395	46	219616	/N	/N	2010
Contour Airlines	LF	/N	/N	/N	/N	/N	/N	2010
Cape Air	9K	45	59191503	39	659258	/N	/N	2010
Boutique Air	4B	/N	/N	/N	/N	/N	/N	2010
Elite Airways	2HQ	/N	/N	/N	/N	/N	/N	2010
Seaborne Virgin Islands	SEB	48	10868899	47	198157	/N	/N	2010
Hageland Aviation Service	H6	47	17167725	48	165755	/N	/N	2010
Sun Air Express 	1RQ	/N	/N	/N	/N	/N	/N	2010
Empire Airlines	EM	/N	/N	/N	/N	/N	/N	2010
Multi-Aero   	0MQ	62	1793864	68	11573	/N	/N	2010
Key Lime Air	38Q	/N	/N	/N	/N	/N	/N	2010
Wright Air Service	8V	57	4643850	61	23506	/N	/N	2010
Grant Aviation	GV	49	10105758	49	118872	/N	/N	2010
Mokulele Flight Services  	MW	/N	/N	/N	/N	/N	/N	2010
Bering Air  	8E	55	6603073	54	63064	/N	/N	2010
ADVANCED AIR LLC	AN	/N	/N	/N	/N	/N	/N	2010
Tradewind Aviation	04Q	64	1098334	74	5351	/N	/N	2010
Kalinin Aviation (Alaska Seaplanes)	J5	69	378985	73	6058	/N	/N	2010
Watermakers Air	3BQ	/N	/N	/N	/N	/N	/N	2010
Kenmore Air Harbor	KAH	52	7775497	52	88179	/N	/N	2010
Charter Air Transport	1AQ	/N	/N	/N	/N	/N	/N	2010
Vieques Air Link  	VI	60	2249673	55	61832	/N	/N	2010
Star Marianas Air 	1SQ	/N	/N	/N	/N	/N	/N	2010
Air Sunshine 	AAT	/N	/N	/N	/N	/N	/N	2010
Iliamna Air Taxi	V8	63	1660687	70	8804	/N	/N	2010
Air Unlimited Charter Services	2TQ	/N	/N	/N	/N	/N	/N	2010
Island Air Express	I4	/N	/N	/N	/N	/N	/N	2010
Venture Travel   	K3	78	108651	77	1898	/N	/N	2010
City Wings 	1QQ	/N	/N	/N	/N	/N	/N	2010
Yute Commuter Service	K2	/N	/N	/N	/N	/N	/N	2010
Tropic Ocean Airways	2LQ	/N	/N	/N	/N	/N	/N	2010
Tatonduk 	5V	/N	/N	/N	/N	/N	/N	2010
Rectrix Aviation	3DQ	/N	/N	/N	/N	/N	/N	2010
New England Airlines  	NEW	71	359669	62	21157	/N	/N	2010
Island Air Service	2O	66	696810	65	13698	/N	/N	2010
Warbelow	4W	53	7295095	57	37682	/N	/N	2010
Air Charter (Air Flamenco)	1YQ	/N	/N	/N	/N	/N	/N	2010
Katmai Air	KAT	73	276256	72	6127	/N	/N	2010
Air Excursions  	X4	65	793590	63	16222	/N	/N	2010
Pacific Airways  	3F	67	653684	64	15699	/N	/N	2010
Harris Air Services	HBQ	/N	/N	/N	/N	/N	/N	2010
Smokey Bay Air  	2E	75	204258	71	8206	/N	/N	2010
Friday Harbor Seaplanes	WST	77	138867	75	4798	/N	/N	2010
Tanana Air Service	Z3	68	414669	69	10791	/N	/N	2010
Grand Canyon Airlines 	YR	79	64935	79	903	/N	/N	2010
Gem Air	22Q	/N	/N	/N	/N	/N	/N	2010
Arctic Transportation	7S	/N	/N	/N	/N	/N	/N	2010
Reeve Air Alaska 	RVQ	/N	/N	/N	/N	/N	/N	2010
40-Mile Air	Q5	80	60542	80	409	/N	/N	2010
Alaska Air Transit	2EQ	/N	/N	/N	/N	/N	/N	2010
Ellis Air Taxi  	ELL	/N	/N	/N	/N	/N	/N	2010
Maritime Helicopters	3AQ	/N	/N	/N	/N	/N	/N	2010
Spernak Airways  	SNK	/N	/N	/N	/N	/N	/N	2010
Delta Air Lines  	DL	1	1.67609E+11	1	113485115	1	35230370	2011
United Airlines	UA	3	99589270466	5	50473565	3	21155218	2011
American Airlines	AA	2	1.26445E+11	3	86042261	2	23957565	2011
Southwest Airlines 	WN	4	83852181325	2	110586815	5	13654641	2011
JetBlue Airways	B6	7	30696243655	7	26353014	7	4508899	2011
Alaska Airlines  	AS	8	22561895135	10	17781491	8	4309602	2011
Spirit Airlines	NK	16	8006918859	19	8296297	14	1071187	2011
Frontier Airlines  	F9	11	10298067309	14	10593384	12	1661914	2011
SkyWest Airlines  	OO	10	13618856582	9	23662594	11	2002830	2011
Hawaiian Airlines  	HA	12	10133109077	17	8659205	13	1651121	2011
Allegiant Air	G4	19	5302466536	22	5777518	17	745038	2011
Republic Airline	YX	18	5665209603	16	10452933	20	624022	2011
Mesa Airlines  	YV	21	3872866320	18	8357014	/N	/N	2011
Envoy Air	MQ	14	9107431846	11	17347640	10	2200175	2011
Endeavor 	9E	20	4449076525	15	10522797	21	507954	2011
PSA Airlines  	OH	25	2526263142	24	5474520	/N	/N	2011
Sun Country Airlines 	SY	29	1801171744	35	1340270	/N	/N	2011
Compass Airlines	CP	24	2665691691	30	3607012	/N	/N	2011
Horizon Air	QX	26	2120993470	20	6640375	/N	/N	2011
ExpressJet Airlines  	EV	17	6089728769	13	14218126	18	715002	2011
GoJet Airlines   	G7	31	1703665634	33	2492135	/N	/N	2011
Air Wisconsin Airlines  	ZW	27	1941111790	21	5956429	19	660186	2011
Trans States Airlines	AX	33	770385590	34	1928408	/N	/N	2011
Piedmont Airlines	PT	/N	/N	/N	/N	/N	/N	2011
Commutair 	C5	37	176643196	36	986997	/N	/N	2011
Silver Airways	3M	43	62862875	42	296554	/N	/N	2011
Era Aviation	7H	41	72098671	41	393599	/N	/N	2011
Peninsula Airways	KS	40	92434025	44	213081	/N	/N	2011
Contour Airlines	LF	/N	/N	/N	/N	/N	/N	2011
Cape Air	9K	42	65796923	37	700774	/N	/N	2011
Boutique Air	4B	/N	/N	/N	/N	/N	/N	2011
Elite Airways	2HQ	/N	/N	/N	/N	/N	/N	2011
